,name,type,actors,hot_index,desp
13,  战狼2 , 类型：动作 , 演员：弗兰克·格里罗、吴京 ,6216, 被开除军籍的冷锋（吴京饰演）本是因找杀害龙小云的凶手（余男饰演）来到非洲，但是却突然被卷入一场非洲国家的叛乱。因为国家之间政治立场的关系，中国军队无法在非洲实行武装行动撤离华侨。而作为退伍老兵的冷锋无法忘记曾经为军人的使命，本来可以安全撤离的他毅然决然地回到了沦陷区，孤身一人带领身陷屠杀中的同胞和难民，展开生死逃亡。随着斗争的持续，体内的狼性逐渐复苏，最终闯入战乱区域，为同胞而战斗。  查看更多>  
14,  我和我的家乡 , 类型：剧情 , 演员：黄渤、葛优 ,6182, 张北京（葛优饰）续集，镜头对准在北京漂泊的异乡人。从《北京你好》到《北京好人》，张北京的这顶奥运纪念帽始终没有摘下，去年还盼着在奥运开幕式上张艺谋能“给咱扫个镜头”，如今竟潇洒放话没接艺谋拍戏邀约。  查看更多>  
15,  五个扑水的少年 , 类型：剧情 , 演员：辛云来、李孝谦 ,6060, 在我们普通的青春里，最疯狂的高光时刻会是什么？张伟（辛云来 饰）是一个长相普通、成绩中游的高二学生，是老师和妈妈眼中的“差生”。面对多方打压，他也渐渐对自己失去了信心，直到意外被任命为学校组建的男子花样游泳队队长，他一点点被改变。从来没有被人相信过的他面对队友高飞（李孝谦 饰）、陈铭涵（冯祥琨 饰）、蛐蛐（王川 饰）、王子（吴俊霆 饰）的信任，第一次有了想要赢一次的想法。为了心中重燃的热血，少年们  查看更多>  
16,  灵媒 , 类型：恐怖 , 演员：萨尼·乌托玛、邦松·纳卡普 ,5862, 泰国伊桑地区是一个被萨满继承的地方，一个纪录片团队来到了这里想拍一个萨满家族守护灵转世的过程，结果发现了家族前世造的孽被诅咒到现世子女身上，看似被巴扬神附身在一位家庭成员身上的女神，并不像她最初看起来那样善良。  查看更多>  
17,  速度与激情9 , 类型：犯罪、动作 , 演员：范·迪塞尔、米歇尔·罗德里格兹 ,4905, “唐老大”多米尼克·特雷托（范·迪塞尔饰）与莱蒂·奥尔蒂斯（米歇尔·罗德里格兹饰）和他的儿子小布莱恩，过上了远离纷扰的平静生活。然而他们也知道，安宁之下总潜藏着危机。这一次，为了保护他所爱的人，唐老大不得不直面过去。他和伙伴们面临的是一场足以引起世界动荡的阴谋，以及一个前所未遇的一流杀手和高能车手。而这个名叫雅各布（约翰·塞纳饰）的人，恰巧是多姆遗落在外的亲弟弟。  查看更多>  
18,  送你一朵小红花 , 类型：剧情 , 演员：易烊千玺、朱媛媛 ,4812, 一个声称能“看见未来”的患癌男孩韦一航（易烊千玺饰），遇见了一个相信“平行世界”的患癌女孩马小远（刘浩存饰），他们都是脑瘤患者，但性格和心态迥异：韦一航经历了开颅手术之后，时刻面对死亡的阴冷召唤，复发的恐惧如影相随，变得有些愤世嫉俗，但又颓唐自闭；马小远却能以爽朗豁达、活泼开朗的性格让周围的人如沐春风。马小远通过只有8个观众的幼稚直播，俘获了韦一航的心。韦一航走出麻木冷漠与自暴自弃，开始懂得父母的  查看更多>  
19,  千与千寻 , 类型：剧情、动画 , 演员：柊瑠美、入野自由 ,4721, 10岁的少女千寻与父母一起从都市搬家到了乡下。没想到在搬家的途中，一家人发生了意外。他们进入了汤屋老板魔女控制的奇特世界——在那里不劳动的人将会被变成动物。千寻的爸爸妈妈因贪吃变成了猪，千寻为了救爸爸妈妈经历了很多磨难，在期间她遇见了白龙，一个既聪明又冷酷的少年，在经历了很多事情之后，千寻最后救出了爸爸妈妈，拯救了白龙。  查看更多>  
20,  战狼3 , 类型：动作 , 演员：吴京 ,4136," 早前吴京在微博上曝出的他和余男的合影并附文:“想看《战狼2》吗?”疑似透露出将搭档余男继续《狼战2》。余男在《狼战》第一部中饰演性感的女军官队长,和吴京有大量的对手戏,不知在续集中这位女军官又会迎来什么新的挑战。此外,《战狼2》并不会是完结篇,吴京透露,《战狼3》也已经送审了。  查看更多>  "
21,  流浪地球 , 类型：科幻 , 演员：吴京、李光洁 ,4106, 近年来，科学家们发现太阳急速衰老膨胀，短时间内包括地球在内的整个太阳系都将被太阳所吞没。为了自救，人类提出一个名为“流浪地球”的大胆计划，即倾全球之力在地球表面建造上万座发动机和转向发动机，推动地球离开太阳系，用2500年的时间奔往新家园。中国航天员刘培强（吴京 饰）在儿子刘启四岁那年前往领航员空间站，和国际同侪肩负起领航者的重任。转眼刘启（屈楚萧 饰）长大，他带着妹妹韩朵朵（赵今麦 饰）偷偷跑到  查看更多>  
22,  黑寡妇 , 类型：科幻、动作 , 演员：蕾切尔·薇兹、弗洛伦丝·皮尤 ,3892, 电影讲述“无限战争”打响之前的黑寡妇个人经历，斯嘉丽·约翰逊重披战袍再演“黑寡妇”娜塔莎·罗曼诺夫。随着新劲敌出现，黑寡妇成为复仇者联盟成员前从未曝光的经历浮出水面，这位初代复联女英雄的黑暗过去即将揭开隐藏的面纱。一股不惜一切要击倒她的力量袭来，娜塔莎必须面对自己在成为复仇者的很久之前那作为间谍的过往，和曾远离的破碎关系。  查看更多>  
23,  花木兰 , 类型：剧情 , 演员：巩俐、甄子丹 ,3767, 中国的皇帝颁布法令，要求每家出一名男子服兵役，抵御北方侵略者。作为一名受人尊敬的战士的长女，花木兰（刘亦菲饰）站出来替生病的父亲应征入伍。她女扮男装、化名为花军，经历了种种考验，同时必须利用内在的力量，接纳自己真正的潜能。这是一场史诗般的旅程，让木兰蜕变为一名受人尊敬的战士，也赢得来自国家与骄傲的父亲的尊重。  查看更多>  
24,  建军大业 , 类型：剧情 , 演员：朱亚文、刘烨 ,3639, 1927年，北伐战争刚取得重大成果之际，国民党反动派为夺权叛变革命，发动了疯狂的“清共”行动，短短数月，近31万进步同胞遭到残酷杀害，全国震惊，刚刚看到希望的中国即将再次陷入军阀混战和独裁专制的深渊。由于没有自己的武装力量，成立不足7年的中国共产党在国民党反动派的疯狂进攻下，几乎遭遇毁灭性打击。血的教训使毛泽东、周恩来等党内进步分子认识到了“枪杆子里出政权”的硬道理。生死存亡之际，他们临危受命，冒  查看更多>  
25,  泰坦尼克号 , 类型：剧情、爱情 , 演员：莱昂纳多·迪卡普里奥、凯特·温丝莱特 ,3635, 1912年4月10日，号称 “世界工业史上的奇迹”的豪华客轮泰坦尼克号开始了自己的处女航，从英国的南安普顿出发驶往美国纽约。富家少女罗丝（凯特·温丝莱特饰）与母亲及未婚夫卡尔坐上了头等舱；另一边，放荡不羁的少年画家杰克（莱昂纳多·迪卡普里奥饰）也在码头的一场赌博中赢得了下等舱的船票。罗丝厌倦了上流社会虚伪的生活，不愿嫁给卡尔，打算投海自尽，被杰克救起。很快，美丽活泼的罗丝与英俊开朗的杰克相爱，杰克  查看更多>  
26,  神奇动物在哪里 , 类型：剧情 , 演员：凯瑟琳·沃特斯顿、埃迪·雷德梅恩 ,3502, 1926年纽约的魔法世界，危机四伏。某个神秘的力量在街头制造了一连串的破坏，并扬言要向反魔法师狂热组织第二塞勒姆揭露魔法社会的存在，并借他们的手斩草除根。而强大的黑魔法师盖勒特·格林德沃，在欧洲制造了浩劫后消声匿迹，没人能寻得其踪。魔法动物学家纽特·斯卡曼德抵达纽约时，对这日益严重的紧张气氛毫不知情。他即将结束对神奇魔法动物的研究和营救工作开展的环球之旅。在他看似其貌不扬的魔法皮箱里，其实保护着不  查看更多>  
27,  我要我们在一起 , 类型：爱情 , 演员：孙宁、屈楚萧 ,3500, 你有没有爱过一个人，曾经拼了命，只为和TA在一起。十年前，差生吕钦扬当众告白凌一尧，两人从校园步入社会，为了让她幸福，他不惜以命相搏。然而金钱、房子、婚姻等现实的考验，却将两人越推越远。十年长跑，他们能否还记得曾经刻在心底的约定：我要我们在一起。  查看更多>  
28,  寄生虫 , 类型：剧情 , 演员：李善均、宋康昊 ,3353, 金基泽全家人平时以给披萨店折叠外卖盒为生，大儿子金基宇被寄托了一家人的生计希望，但是他多次参加高考仍然铩羽而归。在他的同学出国留学前，他让基宇去接替他给一个富家千金辅导英语，这家人就是朴先生家。随着基宇应聘成功，基宇在和女主人朴太太的言谈中发现女主人善良单纯，对她的小儿子也非常溺爱，也因此他发现了可乘之机，编造出了一个艺术辅导师的人设，试图将自己的妹妹介绍进来成为艺术老师。这一家人举家入侵朴家。儿  查看更多>  
29,  星际穿越 , 类型：剧情、科幻 , 演员：安妮·海瑟薇、马修·麦康纳 ,3260, 地球农作物因气候转变及枯萎病而经常失收，曾是美国国家航空航天局的工程师和航天飞机驾驶员的库珀（马修·麦康纳饰）被迫成为农民以协助解决粮食危机。库珀的10岁女儿墨菲（麦肯基·弗依饰）发现其房间书架上的书本无故掉到地上，认为这是幽灵现象。不久后，一场沙尘暴在墨菲房间中留下二进制坐标，二人驱车到达坐标位置后发现那是北美空防司令部（美国国家航空航天局的秘密基地）。基地负责人布兰德教授（迈克尔·凯恩饰）向库  查看更多>  
